Survived	('Survived', 'PassengerId')
0	(0, 892)
1	(1, 893)
0	(0, 894)
0	(0, 895)
1	(1, 896)
0	(0, 897)
1	(1, 898)
0	(0, 899)
1	(1, 900)
0	(0, 901)
0	(0, 902)
0	(0, 903)
1	(1, 904)
0	(0, 905)
1	(1, 906)
1	(1, 907)
0	(0, 908)
0	(0, 909)
1	(1, 910)
1	(1, 911)
0	(0, 912)
0	(0, 913)
1	(1, 914)
0	(0, 915)
1	(1, 916)
0	(0, 917)
1	(1, 918)
0	(0, 919)
0	(0, 920)
0	(0, 921)
0	(0, 922)
0	(0, 923)
1	(1, 924)
1	(1, 925)
0	(0, 926)
0	(0, 927)
1	(1, 928)
1	(1, 929)
0	(0, 930)
0	(0, 931)
0	(0, 932)
0	(0, 933)
0	(0, 934)
1	(1, 935)
1	(1, 936)
0	(0, 937)
0	(0, 938)
0	(0, 939)
1	(1, 940)
1	(1, 941)
0	(0, 942)
0	(0, 943)
0	(0, 944)
1	(1, 945)
0	(0, 946)
0	(0, 947)
0	(0, 948)
0	(0, 949)
0	(0, 950)
1	(1, 951)
0	(0, 952)
0	(0, 953)
0	(0, 954)
1	(1, 955)
1	(1, 956)
1	(1, 957)
1	(1, 958)
0	(0, 959)
0	(0, 960)
0	(0, 961)
1	(1, 962)
0	(0, 963)
1	(1, 964)
0	(0, 965)
1	(1, 966)
0	(0, 967)
0	(0, 968)
0	(0, 969)
0	(0, 970)
1	(1, 971)
1	(1, 972)
1	(1, 973)
0	(0, 974)
0	(0, 975)
0	(0, 976)
0	(0, 977)
1	(1, 978)
1	(1, 979)
1	(1, 980)
1	(1, 981)
1	(1, 982)
0	(0, 983)
1	(1, 984)
0	(0, 985)
0	(0, 986)
0	(0, 987)
1	(1, 988)
0	(0, 989)
1	(1, 990)
0	(0, 991)
1	(1, 992)
0	(0, 993)
0	(0, 994)
0	(0, 995)
1	(1, 996)
0	(0, 997)
0	(0, 998)
0	(0, 999)
0	(0, 1000)
0	(0, 1001)
0	(0, 1002)
1	(1, 1003)
1	(1, 1004)
1	(1, 1005)
1	(1, 1006)
0	(0, 1007)
0	(0, 1008)
1	(1, 1009)
0	(0, 1010)
1	(1, 1011)
1	(1, 1012)
0	(0, 1013)
1	(1, 1014)
0	(0, 1015)
0	(0, 1016)
1	(1, 1017)
0	(0, 1018)
0	(0, 1019)
0	(0, 1020)
0	(0, 1021)
0	(0, 1022)
0	(0, 1023)
1	(1, 1024)
0	(0, 1025)
0	(0, 1026)
0	(0, 1027)
0	(0, 1028)
0	(0, 1029)
1	(1, 1030)
0	(0, 1031)
0	(0, 1032)
1	(1, 1033)
0	(0, 1034)
0	(0, 1035)
0	(0, 1036)
0	(0, 1037)
0	(0, 1038)
0	(0, 1039)
0	(0, 1040)
0	(0, 1041)
1	(1, 1042)
0	(0, 1043)
0	(0, 1044)
1	(1, 1045)
0	(0, 1046)
0	(0, 1047)
1	(1, 1048)
1	(1, 1049)
0	(0, 1050)
1	(1, 1051)
1	(1, 1052)
1	(1, 1053)
1	(1, 1054)
0	(0, 1055)
0	(0, 1056)
1	(1, 1057)
0	(0, 1058)
0	(0, 1059)
1	(1, 1060)
1	(1, 1061)
0	(0, 1062)
0	(0, 1063)
0	(0, 1064)
0	(0, 1065)
0	(0, 1066)
1	(1, 1067)
1	(1, 1068)
0	(0, 1069)
1	(1, 1070)
0	(0, 1071)
0	(0, 1072)
0	(0, 1073)
1	(1, 1074)
0	(0, 1075)
1	(1, 1076)
0	(0, 1077)
1	(1, 1078)
0	(0, 1079)
0	(0, 1080)
0	(0, 1081)
0	(0, 1082)
0	(0, 1083)
0	(0, 1084)
0	(0, 1085)
1	(1, 1086)
0	(0, 1087)
1	(1, 1088)
1	(1, 1089)
0	(0, 1090)
1	(1, 1091)
1	(1, 1092)
1	(1, 1093)
1	(1, 1094)
1	(1, 1095)
0	(0, 1096)
0	(0, 1097)
1	(1, 1098)
0	(0, 1099)
1	(1, 1100)
0	(0, 1101)
0	(0, 1102)
0	(0, 1103)
0	(0, 1104)
1	(1, 1105)
0	(0, 1106)
0	(0, 1107)
1	(1, 1108)
0	(0, 1109)
1	(1, 1110)
0	(0, 1111)
1	(1, 1112)
0	(0, 1113)
1	(1, 1114)
0	(0, 1115)
1	(1, 1116)
1	(1, 1117)
0	(0, 1118)
1	(1, 1119)
0	(0, 1120)
0	(0, 1121)
0	(0, 1122)
1	(1, 1123)
0	(0, 1124)
0	(0, 1125)
0	(0, 1126)
0	(0, 1127)
0	(0, 1128)
0	(0, 1129)
1	(1, 1130)
1	(1, 1131)
1	(1, 1132)
1	(1, 1133)
0	(0, 1134)
0	(0, 1135)
0	(0, 1136)
0	(0, 1137)
1	(1, 1138)
0	(0, 1139)
1	(1, 1140)
1	(1, 1141)
1	(1, 1142)
0	(0, 1143)
0	(0, 1144)
0	(0, 1145)
0	(0, 1146)
0	(0, 1147)
0	(0, 1148)
0	(0, 1149)
1	(1, 1150)
0	(0, 1151)
0	(0, 1152)
0	(0, 1153)
1	(1, 1154)
1	(1, 1155)
0	(0, 1156)
0	(0, 1157)
0	(0, 1158)
0	(0, 1159)
1	(1, 1160)
0	(0, 1161)
0	(0, 1162)
0	(0, 1163)
1	(1, 1164)
1	(1, 1165)
0	(0, 1166)
1	(1, 1167)
0	(0, 1168)
0	(0, 1169)
0	(0, 1170)
0	(0, 1171)
1	(1, 1172)
1	(1, 1173)
1	(1, 1174)
1	(1, 1175)
1	(1, 1176)
0	(0, 1177)
0	(0, 1178)
0	(0, 1179)
0	(0, 1180)
0	(0, 1181)
0	(0, 1182)
1	(1, 1183)
0	(0, 1184)
0	(0, 1185)
0	(0, 1186)
0	(0, 1187)
1	(1, 1188)
0	(0, 1189)
0	(0, 1190)
0	(0, 1191)
0	(0, 1192)
0	(0, 1193)
0	(0, 1194)
0	(0, 1195)
1	(1, 1196)
1	(1, 1197)
0	(0, 1198)
1	(1, 1199)
0	(0, 1200)
1	(1, 1201)
0	(0, 1202)
0	(0, 1203)
0	(0, 1204)
1	(1, 1205)
1	(1, 1206)
1	(1, 1207)
1	(1, 1208)
0	(0, 1209)
0	(0, 1210)
0	(0, 1211)
0	(0, 1212)
0	(0, 1213)
0	(0, 1214)
0	(0, 1215)
1	(1, 1216)
0	(0, 1217)
1	(1, 1218)
0	(0, 1219)
0	(0, 1220)
0	(0, 1221)
1	(1, 1222)
0	(0, 1223)
0	(0, 1224)
1	(1, 1225)
0	(0, 1226)
0	(0, 1227)
0	(0, 1228)
0	(0, 1229)
0	(0, 1230)
0	(0, 1231)
0	(0, 1232)
0	(0, 1233)
0	(0, 1234)
1	(1, 1235)
0	(0, 1236)
1	(1, 1237)
0	(0, 1238)
1	(1, 1239)
0	(0, 1240)
1	(1, 1241)
1	(1, 1242)
0	(0, 1243)
0	(0, 1244)
0	(0, 1245)
1	(1, 1246)
0	(0, 1247)
1	(1, 1248)
0	(0, 1249)
0	(0, 1250)
1	(1, 1251)
0	(0, 1252)
1	(1, 1253)
1	(1, 1254)
0	(0, 1255)
1	(1, 1256)
0	(0, 1257)
0	(0, 1258)
1	(1, 1259)
1	(1, 1260)
0	(0, 1261)
0	(0, 1262)
1	(1, 1263)
0	(0, 1264)
0	(0, 1265)
1	(1, 1266)
1	(1, 1267)
0	(0, 1268)
0	(0, 1269)
0	(0, 1270)
0	(0, 1271)
0	(0, 1272)
0	(0, 1273)
1	(1, 1274)
1	(1, 1275)
0	(0, 1276)
1	(1, 1277)
0	(0, 1278)
0	(0, 1279)
0	(0, 1280)
0	(0, 1281)
0	(0, 1282)
1	(1, 1283)
1	(1, 1284)
0	(0, 1285)
0	(0, 1286)
1	(1, 1287)
0	(0, 1288)
1	(1, 1289)
0	(0, 1290)
0	(0, 1291)
1	(1, 1292)
0	(0, 1293)
1	(1, 1294)
0	(0, 1295)
0	(0, 1296)
0	(0, 1297)
0	(0, 1298)
1	(1, 1299)
1	(1, 1300)
1	(1, 1301)
1	(1, 1302)
1	(1, 1303)
1	(1, 1304)
0	(0, 1305)
1	(1, 1306)
0	(0, 1307)
0	(0, 1308)
0	(0, 1309)
